headers,moves
"{'_tag_roster': {'Event': '?', 'Site': '?', 'Date': '????.??.??', 'Round': '?', 'White': '?', 'Black': '?', 'Result': '0-1'}, '_others': {}}","['d2d4', 'g8f6', 'c2c4', 'c7c5', 'g1f3', 'c5d4', 'f3d4', 'e7e5', 'd4b5', 'd7d5', 'c4d5', 'f8c5', 'b5c3', 'e8g8', 'e2e3', 'e5e4', 'h2h3', 'f8e8', 'g2g4', 'e8e5', 'f1c4', 'b8d7', 'd1b3', 'f6e8', 'b1d2', 'e8d6', 'c4e2', 'd8h4', 'd2c4', 'd6c4', 'b3c4', 'b7b5', 'c4b5', 'a8b8', 'b5a4', 'd7f6', 'a4c6', 'f6d7', 'd5d6', 'e5e6', 'c3e4', 'c8b7', 'c6d7', 'b7e4', 'h1h2', 'c5d6', 'e2c4', 'b8d8', 'd7a7', 'd6h2', 'c4e6', 'f7e6', 'a7a6', 'e4f3', 'c1d2', 'h4h3', 'a6e6', 'g8h8', 'e6e7', 'h2c7']"
"{'_tag_roster': {'Event': 'Bayern-chI Bank Hofmann 4th', 'Site': 'Bad Wiessee', 'Date': '2000.10.30', 'Round': '3', 'White': 'Kaiser, Guenter', 'Black': 'Carlsen, Magnus', 'Result': '0-1'}, '_others': {'ECO': 'B08', 'PlyCount': '72', 'EventDate': '2000.10.28', 'EventType': 'swiss', 'EventRounds': '9', 'EventCountry': 'GER', 'SourceTitle': 'EXT 2003', 'Source': 'ChessBase', 'SourceDate': '2002.11.25', 'SourceVersion': '1', 'SourceVersionDate': '2002.11.25', 'SourceQuality': '1'}}","['d2d4', 'g8f6', 'g1f3', 'd7d6', 'b1c3', 'g7g6', 'e2e4', 'f8g7', 'f1e2', 'e8g8', 'e1g1', 'e7e5', 'c1e3', 'h7h6', 'd1d2', 'f6g4', 'd4d5', 'f7f5', 'e4f5', 'g6f5', 'h2h3', 'g4e3', 'd2e3', 'e5e4', 'f3d4', 'd8e7', 'a1d1', 'c7c5', 'd5c6', 'b7c6', 'e2c4', 'g8h7', 'c3e2', 'd6d5', 'c4b3', 'c6c5', 'd4b5', 'd5d4', 'e3d2', 'c8b7', 'e2f4', 'a7a6', 'f4d5', 'e7e5', 'b5c7', 'a8a7', 'd2a5', 'b8d7', 'g2g3', 'f8c8', 'c7b5', 'a7a8', 'b5c7', 'b7d5', 'c7a8', 'c8a8', 'b3a4', 'd5e6', 'g1h2', 'f5f4', 'a5e1', 'd7f6', 'a4c6', 'a8c8', 'c6b7', 'c8c7', 'b7a8', 'e6d5', 'a8d5', 'f6d5', 'e1e2', 'f4g3']"
"{'_tag_roster': {'Event': 'Bayern-chI Bank Hofmann 4th', 'Site': 'Bad Wiessee', 'Date': '2000.10.31', 'Round': '4', 'White': 'Carlsen, Magnus', 'Black': 'Olzem, Lothar', 'Result': '1/2-1/2'}, '_others': {'ECO': 'D00', 'BlackElo': '2179', 'PlyCount': '72', 'EventDate': '2000.10.28', 'EventType': 'swiss', 'EventRounds': '9', 'EventCountry': 'GER', 'SourceTitle': 'EXT 2003', 'Source': 'ChessBase', 'SourceDate': '2002.11.25', 'SourceVersion': '1', 'SourceVersionDate': '2002.11.25', 'SourceQuality': '1'}}","['d2d4', 'd7d5', 'c1g5', 'h7h6', 'g5h4', 'c8f5', 'g1f3', 'b8d7', 'e2e3', 'g8f6', 'f1d3', 'f5d3', 'd1d3', 'e7e6', 'e1g1', 'f8e7', 'c2c4', 'e8g8', 'b1c3', 'c7c6', 'e3e4', 'd5e4', 'c3e4', 'f6e4', 'h4e7', 'd8e7', 'd3e4', 'e7b4', 'b2b3', 'f8d8', 'a1d1', 'a7a5', 'e4e1', 'b4b6', 'e1c3', 'd7f6', 'f3e5', 'b6b4', 'c3b2', 'a5a4', 'e5d3', 'b4b6', 'd3c5', 'f6d7', 'b3b4', 'd7c5', 'd4c5', 'b6c7', 'a2a3', 'c7f4', 'b2c2', 'g7g6', 'g2g3', 'f4g4', 'g1g2', 'g4f5', 'c2f5', 'g6f5', 'g2f3', 'g8f8', 'd1d6', 'f8e7', 'f1d1', 'a8b8', 'd6d8', 'b8d8', 'd1d8', 'e7d8', 'g3g4', 'd8e7', 'g4f5', 'e6f5']"
"{'_tag_roster': {'Event': 'Bayern-chI Bank Hofmann 4th', 'Site': 'Bad Wiessee', 'Date': '2000.11.01', 'Round': '5', 'White': 'Bartels, Holger', 'Black': 'Carlsen, Magnus', 'Result': '1/2-1/2'}, '_others': {'ECO': 'C59', 'WhiteElo': '2170', 'PlyCount': '96', 'EventDate': '2000.10.28', 'EventType': 'swiss', 'EventRounds': '9', 'EventCountry': 'GER', 'SourceTitle': 'EXT 2003', 'Source': 'ChessBase', 'SourceDate': '2002.11.25', 'SourceVersion': '1', 'SourceVersionDate': '2002.11.25', 'SourceQuality': '1'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'g8f6', 'f3g5', 'd7d5', 'e4d5', 'c6a5', 'c4b5', 'c7c6', 'd5c6', 'b7c6', 'b5e2', 'h7h6', 'g5h3', 'f8c5', 'e1g1', 'c8h3', 'g2h3', 'f6e4', 'd2d3', 'e4g5', 'c1e3', 'g5h3', 'g1g2', 'h3f4', 'g2h1', 'a5b7', 'e2f3', 'd8b6', 'b1d2', 'e8g8', 'd2c4', 'b6c7', 'd1d2', 'c5e3', 'f2e3', 'f4d5', 'd2g2', 'a8d8', 'g2g3', 'd8e8', 'f3e4', 'b7d6', 'f1g1', 'g7g5', 'c4d6', 'c7d6', 'a1f1', 'd6e6', 'g3f3', 'd5e7', 'f3f6', 'e6f6', 'f1f6', 'g8g7', 'g1f1', 'e8c8', 'c2c3', 'e7d5', 'e4d5', 'c6d5', 'f6a6', 'c8b8', 'b2b3', 'b8c8', 'c3c4', 'd5c4', 'd3c4', 'c8c7', 'f1f6', 'f8d8', 'f6d6', 'c7d7', 'd6d7', 'd8d7', 'c4c5', 'f7f5', 'b3b4', 'e5e4', 'b4b5', 'f5f4', 'h1g2', 'f4f3', 'g2f2', 'd7d2', 'f2g1', 'd2d1', 'g1f2', 'd1d2', 'f2g1', 'd2d1', 'g1f2', 'd1d2']"
"{'_tag_roster': {'Event': 'Nordic Cup-chT U18', 'Site': 'Gausdal', 'Date': '2001.??.??', 'Round': '2', 'White': 'Carlsen, Magnus', 'Black': 'Nyback, Tomi', 'Result': '1/2-1/2'}, '_others': {'ECO': 'A42', 'BlackElo': '2211', 'PlyCount': '98', 'EventDate': '2001.??.??', 'EventType': 'team', 'EventRounds': '3', 'EventCountry': 'NOR', 'SourceTitle': 'EXT 2003', 'Source': 'ChessBase', 'SourceDate': '2002.11.25', 'SourceVersion': '1', 'SourceVersionDate': '2002.11.25', 'SourceQuality': '1'}}","['c2c4', 'g7g6', 'b1c3', 'f8g7', 'd2d4', 'd7d6', 'g2g3', 'b8d7', 'f1g2', 'e7e5', 'g1f3', 'g8e7', 'e1g1', 'e8g8', 'e2e4', 'e5d4', 'f3d4', 'e7c6', 'c1e3', 'd7e5', 'd4c6', 'b7c6', 'c4c5', 'e5c4', 'd1e2', 'c8a6', 'f1c1', 'a8b8', 'b2b3', 'c4e3', 'e2a6', 'e3g2', 'g1g2', 'g7d4', 'c1c2', 'd8f6', 'a1c1', 'd6c5', 'a6e2', 'f6e7', 'c3a4', 'b8b5', 'f2f3', 'h7h5', 'h2h4', 'g8g7', 'f3f4', 'e7d6', 'e4e5', 'd6d5', 'e2f3', 'f8d8', 'f3d5', 'c6d5', 'g2f3', 'c5c4', 'b3c4', 'b5a5', 'c1d1', 'c7c5', 'a4c3', 'a5a3', 'd1c1', 'd5c4', 'f3e4', 'd4c3', 'c2c3', 'd8d4', 'e4e3', 'd4d3', 'c3d3', 'a3d3', 'e3e4', 'd3g3', 'c1c4', 'g3a3', 'f4f5', 'g6f5', 'e4f5', 'a3a2', 'c4c5', 'a7a5', 'f5g5', 'a5a4', 'c5a5', 'a4a3', 'g5h5', 'a2a1', 'a5a7', 'g7f8', 'h5h6', 'a3a2', 'h4h5', 'f8e8', 'h6h7', 'a1h1', 'a7a2', 'h1h5']"
"{'_tag_roster': {'Event': 'Nordic School-ch U11', 'Site': 'Laugar', 'Date': '2001.??.??', 'Round': '2', 'White': 'Sofiev, Alexey', 'Black': 'Carlsen, Magnus', 'Result': '0-1'}, '_others': {'ECO': 'C42', 'PlyCount': '80', 'EventDate': '2001.??.??', 'EventType': 'tourn', 'EventRounds': '6', 'EventCountry': 'ISL', 'SourceTitle': 'EXT 2002', 'Source': 'ChessBase', 'SourceDate': '2001.11.25', 'SourceVersion': '1', 'SourceVersionDate': '2001.11.25', 'SourceQuality': '1'}}","['e2e4', 'e7e5', 'g1f3', 'g8f6', 'f3e5', 'd7d6', 'e5f3', 'f6e4', 'd2d3', 'e4f6', 'b1c3', 'b8c6', 'd3d4', 'c8g4', 'f1e2', 'd6d5', 'c1f4', 'f8d6', 'f4d6', 'd8d6', 'e1g1', 'e8g8', 'a2a3', 'f8e8', 'h2h3', 'g4h5', 'f1e1', 'f6e4', 'f3d2', 'h5e2', 'd1e2', 'c6d4', 'e2d3', 'e4c3', 'b2c3', 'e8e1', 'a1e1', 'd4e6', 'd3b5', 'b7b6', 'b5b2', 'e6f4', 'd2f1', 'd6g6', 'f1g3', 'h7h5', 'h3h4', 'g6g4', 'b2b5', 'g4h4', 'e1e8', 'a8e8', 'b5e8', 'g8h7', 'e8f7', 'h4g4', 'f7f5', 'g4f5', 'g3f5', 'f4e2', 'g1f1', 'e2c3', 'f5e7', 'g7g6', 'f1e1', 'h7g7', 'e1d2', 'g7f7', 'e7c6', 'c3e4', 'd2e3', 'a7a5', 'f2f3', 'e4d6', 'e3d4', 'f7e6', 'a3a4', 'd6f5', 'd4d3', 'f5h4']"
"{'_tag_roster': {'Event': 'Nordic School-ch U11', 'Site': 'Laugar', 'Date': '2001.??.??', 'Round': '6', 'White': 'Viljanen, Markus', 'Black': 'Carlsen, Magnus', 'Result': '0-1'}, '_others': {'ECO': 'D00', 'PlyCount': '82', 'EventDate': '2001.??.??', 'EventType': 'tourn', 'EventRounds': '6', 'EventCountry': 'ISL', 'SourceTitle': 'EXT 2002', 'Source': 'ChessBase', 'SourceDate': '2001.11.25', 'SourceVersion': '1', 'SourceVersionDate': '2001.11.25', 'SourceQuality': '1'}}","['d2d4', 'g8f6', 'b1c3', 'd7d5', 'c1f4', 'g7g6', 'e2e3', 'f8g7', 'g1f3', 'e8g8', 'f1d3', 'f6h5', 'c3e2', 'h5f4', 'e2f4', 'c7c6', 'e1g1', 'f7f6', 'c2c4', 'e7e5', 'f4g6', 'h7g6', 'd3g6', 'e5e4', 'f3d2', 'f6f5', 'c4d5', 'c6d5', 'a1c1', 'b8c6', 'd2b3', 'c6b4', 'c1a1', 'b4d3', 'a1b1', 'd8g5', 'd1h5', 'g5h5', 'g6h5', 'b7b6', 'b3c1', 'c8a6', 'f1d1', 'f5f4', 'h5e2', 'f4e3', 'f2e3', 'd3b4', 'e2a6', 'b4a6', 'c1b3', 'g7h6', 'd1e1', 'a6b4', 'a2a3', 'b4c2', 'e1e2', 'c2e3', 'h2h3', 'a8c8', 'g1h1', 'c8c2', 'e2c2', 'e3c2', 'h1g1', 'e4e3', 'b3c1', 'c2d4', 'c1d3', 'e3e2', 'b2b4', 'h6e3', 'g1h2', 'f8f1', 'b1e1', 'e3f4', 'g2g3', 'd4f3', 'h2g2', 'f3e1', 'g2h2', 'e1d3']"
"{'_tag_roster': {'Event': 'Nordic-chT', 'Site': 'Norway', 'Date': '2001.??.??', 'Round': '?', 'White': 'Carlsen, Magnus', 'Black': 'Blomqvist, Erik', 'Result': '1-0'}, '_others': {'ECO': 'C79', 'PlyCount': '41', 'EventDate': '2001.??.??', 'EventType': 'team', 'EventRounds': '5', 'EventCountry': 'NOR', 'SourceTitle': 'EXT 2005', 'Source': 'ChessBase', 'SourceDate': '2004.11.15', 'SourceVersion': '1', 'SourceVersionDate': '2004.11.15', 'SourceQuality': '1'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'a7a6', 'b5a4', 'g8f6', 'e1g1', 'b7b5', 'a4b3', 'd7d6', 'f1e1', 'c6a5', 'd2d4', 'e5d4', 'e4e5', 'd6e5', 'f3e5', 'f8e7', 'e5f7', 'a5b3', 'f7d8', 'b3a1', 'd8c6', 'f6d5', 'd1h5', 'g7g6', 'h5d5', 'e8f8', 'c6e7', 'a8b8', 'd5d8', 'f8g7', 'd8d4', 'g7f7', 'd4h8', 'a1c2', 'h8g8', 'f7f6', 'g8f8']"
"{'_tag_roster': {'Event': 'Nordic-chT', 'Site': 'Norway', 'Date': '2001.??.??', 'Round': '?', 'White': 'Carlsen, Magnus', 'Black': 'Hammer, Jon Ludvig', 'Result': '1-0'}, '_others': {'ECO': 'D36', 'PlyCount': '89', 'EventDate': '2001.??.??', 'EventType': 'team', 'EventRounds': '5', 'EventCountry': 'NOR', 'SourceTitle': 'EXT 2005', 'Source': 'ChessBase', 'SourceDate': '2004.11.15', 'SourceVersion': '1', 'SourceVersionDate': '2004.11.15', 'SourceQuality': '1'}}","['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'f8e7', 'c4d5', 'e6d5', 'g1f3', 'g8f6', 'c1g5', 'c7c6', 'e2e3', 'c8e6', 'f1d3', 'b8d7', 'd1c2', 'h7h6', 'g5h4', 'a8c8', 'e1g1', 'e8g8', 'a1b1', 'd8c7', 'b2b4', 'b7b5', 'a2a4', 'a7a6', 'a4a5', 'e6g4', 'f3d2', 'e7d6', 'h4g3', 'f8e8', 'f1c1', 'e8e7', 'd2b3', 'g8h8', 'c3a2', 'd7b8', 'b3c5', 'f6d7', 'd3f5', 'g4f5', 'c2f5', 'g7g6', 'f5f3', 'd6g3', 'h2g3', 'd7c5', 'c1c5', 'b8d7', 'c5c3', 'c7d6', 'a2c1', 'd6f6', 'c1d3', 'f6f3', 'g2f3', 'g6g5', 'b1c1', 'd7b8', 'd3e5', 'h8g7', 'c3c5', 'e7c7', 'e3e4', 'd5e4', 'f3e4', 'f7f6', 'e5g4', 'h6h5', 'g4e3', 'g7f7', 'e3f5', 'f7e6', 'd4d5', 'e6d7', 'd5d6', 'c7b7', 'e4e5', 'f6e5', 'c5e5', 'c8e8', 'e5e7', 'e8e7', 'd6e7', 'b7c7', 'c1d1']"
"{'_tag_roster': {'Event': 'Nordic-chT', 'Site': 'Norway', 'Date': '2001.??.??', 'Round': '?', 'White': 'Carlsen, Magnus', 'Black': 'Rosbach, Michael', 'Result': '1/2-1/2'}, '_others': {'ECO': 'C60', 'PlyCount': '72', 'EventDate': '2001.??.??', 'EventType': 'team', 'EventRounds': '5', 'EventCountry': 'NOR', 'SourceTitle': 'EXT 2005', 'Source': 'ChessBase', 'SourceDate': '2004.11.15', 'SourceVersion': '1', 'SourceVersionDate': '2004.11.15', 'SourceQuality': '1'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'g8e7', 'e1g1', 'a7a6', 'b5a4', 'g7g6', 'c2c3', 'b7b5', 'a4b3', 'f8g7', 'd2d4', 'd7d6', 'h2h3', 'e8g8', 'c1e3', 'c8b7', 'b1d2', 'd6d5', 'e4d5', 'e7d5', 'e3g5', 'd8d7', 'd2e4', 'd5b6', 'e4c5', 'd7c8', 'c5b7', 'c8b7', 'd4e5', 'c6e5', 'f3e5', 'g7e5', 'f1e1', 'e5g7', 'e1e7', 'a8d8', 'd1g4', 'b7c8', 'g4f3', 'd8d7', 'a1e1', 'd7e7', 'g5e7', 'c8e8', 'e1e4', 'b6c4', 'e7f8', 'e8f8', 'b3c4', 'b5c4', 'e4c4', 'f8b8', 'c4b4', 'b8d8', 'g2g3', 'd8d7', 'b4b8', 'g7f8', 'f3a8', 'd7d6', 'a8b7', 'g8g7', 'b8a8', 'd6e5', 'b7a6', 'f8c5', 'g1f1', 'e5f5']"
