piece,color,row,column,CPL
0,0,1,1,0
0,0,1,1,70
0,0,1,1,80
0,0,1,1,79
0,0,1,1,114
0,0,1,1,79
0,0,1,1,95
0,0,1,1,76
0,0,1,1,70
0,0,1,1,66
0,0,1,1,92
0,0,1,1,81
0,0,1,1,57
0,0,1,1,30
0,0,1,1,77
0,0,1,1,75
0,0,1,1,85
0,0,1,1,-35
0,0,1,1,-5
0,0,1,1,-32
0,0,1,1,-21
0,0,1,1,-24
0,0,1,1,-9
0,0,1,1,-20
0,0,1,1,14
0,0,1,1,-34
0,0,1,1,-33
0,0,1,1,-40
0,0,1,1,30
0,0,1,1,48
0,0,1,1,31
0,0,1,1,-10
0,0,1,1,-7
0,0,1,1,-13
0,0,1,1,20
0,0,1,1,13
0,0,1,1,14
0,0,1,1,20
0,0,1,1,11
0,0,1,1,-34
0,0,1,1,-39
0,0,1,1,58
0,0,1,1,235
0,0,1,1,34
0,0,1,1,23
0,0,1,1,30
0,0,1,1,26
0,1,1,1,0
0,1,1,1,-299
0,1,1,1,-299
0,1,1,1,-255
0,1,1,1,-358
0,1,1,1,-320
0,1,1,1,-347
0,1,1,1,-340
0,1,1,1,-370
0,1,1,1,-376
0,1,1,1,-415
0,1,1,1,-417
0,1,1,1,-424
0,1,1,1,-414
0,1,1,1,-425
0,1,1,1,-418
0,1,1,1,-432
0,1,1,1,-391
0,1,1,1,-399
0,1,1,1,-210
0,1,1,1,-506
0,1,1,1,-511
0,1,1,1,-6
0,1,1,1,-21
0,1,1,1,0
0,1,1,1,0
0,0,1,2,0
0,0,1,2,32
0,0,1,2,34
0,0,1,2,-24
0,0,1,2,0
0,0,1,2,-14
0,0,1,2,17
0,0,1,2,24
0,0,1,2,37
0,0,1,2,29
0,0,1,2,28
0,0,1,2,32
0,0,1,2,34
0,0,1,2,37
0,0,1,2,36
0,0,1,2,29
0,0,1,2,28
0,0,1,2,29
0,0,1,2,80
0,0,1,2,59
0,0,1,2,74
0,0,1,2,66
0,0,1,2,78
0,0,1,2,29
0,0,1,2,47
0,0,1,2,43
0,0,1,2,36
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,53
0,0,1,2,58
0,0,1,2,71
0,0,1,2,29
0,0,1,2,28
0,0,1,2,29
0,0,1,2,28
0,0,1,2,29
0,0,1,2,80
0,0,1,2,24
0,0,1,2,26
0,0,1,2,29
0,0,1,2,80
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,26
0,0,1,2,29
0,0,1,2,25
0,0,1,2,34
0,0,1,2,30
0,0,1,2,29
0,0,1,2,26
0,0,1,2,29
0,0,1,2,25
0,0,1,2,34
0,0,1,2,30
0,0,1,2,-8
0,0,1,2,-9
0,0,1,2,-83
0,0,1,2,-23
0,0,1,2,-55
0,0,1,2,-60
0,0,1,2,-84
0,0,1,2,-76
0,0,1,2,-94
0,0,1,2,-78
0,0,1,2,-142
0,0,1,2,-107
0,0,1,2,-128
0,0,1,2,-122
0,0,1,2,-116
0,0,1,2,-74
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,47
0,0,1,2,43
0,0,1,2,36
0,0,1,2,41
0,0,1,2,43
0,0,1,2,45
0,0,1,2,48
0,0,1,2,32
0,0,1,2,31
0,0,1,2,32
0,0,1,2,65
0,0,1,2,69
0,0,1,2,83
0,0,1,2,71
0,0,1,2,75
0,0,1,2,19
0,0,1,2,22
0,0,1,2,16
0,0,1,2,15
0,0,1,2,26
0,0,1,2,36
0,0,1,2,17
0,0,1,2,22
0,0,1,2,29
0,0,1,2,41
0,0,1,2,32
0,0,1,2,34
0,0,1,2,37
0,0,1,2,40
0,0,1,2,29
0,0,1,2,51
0,0,1,2,48
0,0,1,2,63
0,0,1,2,45
0,0,1,2,72
0,0,1,2,39
0,0,1,2,75
0,0,1,2,7
0,0,1,2,-2
0,0,1,2,24
0,0,1,2,38
0,0,1,2,29
0,0,1,2,41
0,0,1,2,32
0,0,1,2,57
0,0,1,2,52
0,0,1,2,59
0,0,1,2,46
0,0,1,2,59
0,0,1,2,29
0,0,1,2,47
0,0,1,2,43
0,0,1,2,115
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,47
0,0,1,2,43
0,0,1,2,36
0,0,1,2,29
0,0,1,2,41
0,0,1,2,-16
0,0,1,2,-3
0,0,1,2,6
0,0,1,2,0
0,0,1,2,29
0,0,1,2,26
0,0,1,2,29
0,0,1,2,25
0,0,1,2,19
0,0,1,2,28
0,0,1,2,19
0,0,1,2,28
0,0,1,2,-25
0,0,1,2,-13
0,0,1,2,-37
0,0,1,2,-19
0,0,1,2,-8
0,0,1,2,-29
0,0,1,2,-16
0,0,1,2,-20
0,0,1,2,-14
0,0,1,2,-27
0,0,1,2,-27
0,0,1,2,29
0,0,1,2,41
0,0,1,2,24
0,0,1,2,26
0,0,1,2,20
0,0,1,2,24
0,0,1,2,23
0,0,1,2,37
0,0,1,2,29
0,0,1,2,41
0,0,1,2,32
0,0,1,2,31
0,0,1,2,32
0,0,1,2,36
0,0,1,2,50
0,0,1,2,35
0,0,1,2,-114
0,0,1,2,-113
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,41
0,0,1,2,32
0,0,1,2,34
0,0,1,2,37
0,0,1,2,36
0,0,1,2,29
0,0,1,2,28
0,0,1,2,32
0,0,1,2,31
0,0,1,2,32
0,0,1,2,39
0,0,1,2,29
0,0,1,2,28
0,0,1,2,24
0,0,1,2,37
0,0,1,2,29
0,0,1,2,28
0,0,1,2,29
0,0,1,2,26
0,0,1,2,29
0,0,1,2,25
0,0,1,2,19
0,0,1,2,28
0,0,1,2,19
0,0,1,2,28
0,0,1,2,24
0,0,1,2,26
0,0,1,2,-247
0,0,1,2,-239
0,0,1,2,-260
0,0,1,2,-268
0,0,1,2,-259
0,0,1,2,-279
0,0,1,2,-276
0,0,1,2,-273
0,0,1,2,-276
0,0,1,2,-266
0,0,1,2,-269
0,0,1,2,-303
0,0,1,2,-305
0,0,1,2,-273
0,0,1,2,-325
0,0,1,2,-324
0,0,1,2,-430
0,0,1,2,-455
0,0,1,2,-472
0,0,1,2,-354
0,0,1,2,-369
0,0,1,2,-230
0,0,1,2,-257
0,0,1,2,-244
0,0,1,2,-286
0,0,1,2,-276
0,0,1,2,-282
0,0,1,2,-289
0,0,1,2,-471
0,0,1,2,-464
0,0,1,2,-464
0,0,1,2,-486
0,0,1,2,-676
0,0,1,2,-469
0,0,1,2,29
0,0,1,2,41
0,0,1,2,32
0,0,1,2,34
0,0,1,2,37
0,0,1,2,40
0,0,1,2,29
0,0,1,2,47
0,0,1,2,43
0,0,1,2,36
0,0,1,2,-16
0,0,1,2,-5
0,0,1,2,-14
0,0,1,2,-2
0,0,1,2,-16
0,0,1,2,30
0,0,1,2,29
0,0,1,2,80
0,0,1,2,59
0,0,1,2,74
0,0,1,2,66
0,0,1,2,78
0,0,1,2,29
0,0,1,2,41
0,0,1,2,32
0,0,1,2,34
0,0,1,2,37
0,0,1,2,36
0,0,1,2,29
0,0,1,2,28
0,0,1,2,22
0,0,1,2,12
0,0,1,2,14
0,0,1,2,11
0,0,1,2,16
0,0,1,2,-6
0,0,1,2,23
0,0,1,2,9
0,0,1,2,26
0,0,1,2,33
0,0,1,2,43
0,0,1,2,47
0,0,1,2,67
0,0,1,2,54
0,0,1,2,53
0,0,1,2,65
0,0,1,2,163
0,0,1,2,126
0,0,1,2,179
0,0,1,2,136
0,0,1,2,194
0,0,1,2,188
0,0,1,2,186
0,0,1,2,176
0,0,1,2,160
0,0,1,2,32
0,0,1,2,34
0,0,1,2,-24
0,0,1,2,0
0,0,1,2,-14
0,0,1,2,17
0,0,1,2,24
0,0,1,2,37
0,0,1,2,29
0,0,1,2,28
0,0,1,2,32
0,0,1,2,34
0,0,1,2,37
0,0,1,2,36
0,0,1,2,29
0,0,1,2,28
0,0,1,2,29
0,0,1,2,80
0,0,1,2,59
0,0,1,2,74
0,0,1,2,66
0,0,1,2,78
0,0,1,2,29
0,0,1,2,47
0,0,1,2,43
0,0,1,2,36
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,53
0,0,1,2,58
0,0,1,2,71
0,0,1,2,29
0,0,1,2,28
0,0,1,2,29
0,0,1,2,28
0,0,1,2,29
0,0,1,2,80
0,0,1,2,24
0,0,1,2,26
0,0,1,2,29
0,0,1,2,80
0,0,1,2,29
0,0,1,2,41
0,0,1,2,29
0,0,1,2,26
0,0,1,2,29
0,0,1,2,25
0,0,1,2,34
0,0,1,2,30
0,0,1,2,29
0,0,1,2,26
0,0,1,2,29
