headers,moves
"{'_tag_roster': {'Event': '?', 'Site': '?', 'Date': '????.??.??', 'Round': '?', 'White': '?', 'Black': '?', 'Result': '1/2-1/2'}, '_others': {}}","['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1c3', 'f8b4', 'e4e5', 'g8e7', 'a2a3', 'b4c3', 'b2c3', 'c7c5', 'a3a4', 'b8c6', 'g1f3', 'd8a5', 'c1d2', 'c8d7', 'f1e2', 'c5c4', 'f3g5', 'e8g8', 'e1g1', 'f7f6', 'e5f6', 'f8f6', 'e2g4', 'h7h6', 'g5f3', 'e7c8', 'f1e1', 'c8b6', 'd1c1', 'a8f8', 'c1a3', 'c6d8', 'f3e5', 'a5a4', 'a3c1', 'a4b5', 'a1a7', 'd7c8', 'a7a1', 'b6d7', 'a1a8', 'd7b6', 'a8a1', 'b6d7', 'f2f3', 'd8c6', 'c1a3', 'b5b6', 'd2e3', 'b6c7', 'e5c6', 'c7c6', 'e3f2', 'g8h7', 'f2h4', 'g7g5', 'h4g3', 'h7g6', 'h2h4', 'f8e8', 'h4g5', 'h6g5', 'a3c1', 'f6f8', 'g3e5', 'f8g8', 'g2g3', 'e8e7', 'f3f4', 'e7h7', 'e1f1', 'g8f8', 'c1e3', 'g5f4', 'g3f4', 'd7f6', 'e5f6', 'f8f6', 'e3e5', 'g6f7', 'g1f2', 'f7e7', 'a1a8', 'f6f4', 'e5f4', 'h7f7', 'f4f7', 'e7f7', 'f2e2', 'f7e7', 'g4h5', 'e7d6', 'f1f8', 'c8d7', 'f8h8', 'c6b6', 'h8h7', 'b6b1', 'e2d2', 'b1g1', 'h5e8']"
"{'_tag_roster': {'Event': 'Skopje Solidarnost-06', 'Site': 'Skopje', 'Date': '1976.03.14', 'Round': '12', 'White': 'Vaganian, Rafael A', 'Black': 'Timman, Jan H', 'Result': '0-1'}, '_others': {'ECO': 'A17', 'WhiteElo': '2550', 'BlackElo': '2550', 'PlyCount': '114', 'EventDate': '1976.02.29', 'EventType': 'tourn', 'EventRounds': '15', 'EventCountry': 'YUG', 'EventCategory': '10', 'SourceTitle': 'MCD', 'Source': 'ChessBase', 'SourceDate': '1999.07.01', 'SourceVersion': '1', 'SourceVersionDate': '1999.07.01', 'SourceQuality': '1'}}","['c2c4', 'g8f6', 'b1c3', 'e7e6', 'g1f3', 'f8b4', 'd1c2', 'c7c5', 'g2g3', 'e8g8', 'f1g2', 'b8c6', 'a2a3', 'b4c3', 'c2c3', 'b7b6', 'f3e5', 'c8b7', 'e5c6', 'b7c6', 'g2c6', 'd7c6', 'd2d3', 'd8d4', 'c1e3', 'd4c3', 'b2c3', 'f6d7', 'a3a4', 'f8d8', 'g3g4', 'g8f8', 'f2f3', 'f8e7', 'e1f2', 'f7f6', 'h1b1', 'a7a6', 'a1a2', 'a8b8', 'a2b2', 'e6e5', 'f3f4', 'e7d6', 'f2f3', 'd8e8', 'e3c1', 'b8b7', 'h2h4', 'e8b8', 'f3e4', 'b6b5', 'c1d2', 'b7b6', 'a4a5', 'b6b7', 'g4g5', 'g7g6', 'f4e5', 'f6e5', 'd2e1', 'd6e6', 'e1g3', 'b8f8', 'e2e3', 'h7h6', 'd3d4', 'h6g5', 'h4g5', 'f8f5', 'g3h4', 'b7b8', 'b2g2', 'b8f8', 'c4b5', 'c6b5', 'd4d5', 'e6d6', 'c3c4', 'f5f1', 'g2g1', 'f1g1', 'b1g1', 'b5c4', 'h4e1', 'f8b8', 'e1c3', 'b8h8', 'g1d1', 'h8h4', 'e4f3', 'h4h3', 'f3e4', 'h3g3', 'd1f1', 'g3g5', 'f1f7', 'g5h5', 'e4f3', 'h5f5', 'f7f5', 'g6f5', 'e3e4', 'f5e4', 'f3e4', 'd7f6', 'e4f5', 'f6d5', 'c3e5', 'd6c6', 'f5e4', 'd5b4', 'e4e3', 'c4c3']"
"{'_tag_roster': {'Event': 'Skopje Solidarnost-06', 'Site': 'Skopje', 'Date': '1976.03.15', 'Round': '13', 'White': 'Uhlmann, Wolfgang', 'Black': 'Vaganian, Rafael A', 'Result': '1-0'}, '_others': {'ECO': 'A16', 'WhiteElo': '2555', 'BlackElo': '2550', 'PlyCount': '111', 'EventDate': '1976.02.29', 'EventType': 'tourn', 'EventRounds': '15', 'EventCountry': 'YUG', 'EventCategory': '10', 'SourceTitle': 'MCD', 'Source': 'ChessBase', 'SourceDate': '1999.07.01', 'SourceVersion': '1', 'SourceVersionDate': '1999.07.01', 'SourceQuality': '1'}}","['c2c4', 'g8f6', 'b1c3', 'd7d5', 'c4d5', 'f6d5', 'g2g3', 'g7g6', 'f1g2', 'd5b6', 'g1f3', 'f8g7', 'e1g1', 'b8c6', 'd2d3', 'e8g8', 'c1d2', 'h7h6', 'a1c1', 'g8h7', 'd1c2', 'c8g4', 'c2b1', 'd8d7', 'f1e1', 'f7f5', 'b2b4', 'e7e5', 'b4b5', 'c6e7', 'd2e3', 'f5f4', 'e3c5', 'f8f7', 'f3d2', 'b6d5', 'c5e7', 'd5c3', 'c1c3', 'd7e7', 'd2e4', 'h6h5', 'b1b3', 'g7h6', 'b3d5', 'a8f8', 'd5b7', 'f4g3', 'h2g3', 'h5h4', 'g3h4', 'e7h4', 'c3c7', 'h7g7', 'e2e3', 'h4d8', 'e1c1', 'd8d3', 'b7a7', 'g4f5', 'c7f7', 'f8f7', 'a7c5', 'f5e4', 'c5e5', 'g7h7', 'g2e4', 'd3d2', 'c1f1', 'h6e3', 'e4g6', 'h7g6', 'e5e6', 'f7f6', 'e6e3', 'd2d5', 'f1c1', 'd5b5', 'c1c5', 'b5b1', 'g1h2', 'b1b8', 'h2g2', 'b8b7', 'f2f3', 'g6f7', 'e3b3', 'b7b3', 'a2b3', 'f6b6', 'c5c3', 'f7e6', 'c3d3', 'e6e5', 'g2f2', 'b6b8', 'f2e3', 'e5f5', 'd3c3', 'f5e5', 'e3d2', 'e5f4', 'c3c4', 'f4f3', 'b3b4', 'b8b7', 'd2d3', 'b7b5', 'c4h4', 'b5b8', 'd3c4']"
"{'_tag_roster': {'Event': 'Yerevan', 'Site': 'Erevan (Armenia)', 'Date': '1976.03.21', 'Round': '3', 'White': 'Vaganian, Rafael A', 'Black': 'Romanishin, Oleg M', 'Result': '1-0'}, '_others': {'ECO': 'A04', 'WhiteElo': '2550', 'BlackElo': '2560', 'PlyCount': '127', 'EventDate': '1976.03.19', 'EventType': 'tourn', 'EventRounds': '15', 'EventCountry': 'URS', 'SourceTitle': 'EXT 1999', 'Source': 'ChessBase', 'SourceDate': '1998.11.16', 'SourceVersion': '1', 'SourceVersionDate': '1998.11.16', 'SourceQuality': '1'}}","['g1f3', 'c7c5', 'g2g3', 'b7b5', 'a2a4', 'b5a4', 'f1g2', 'c8b7', 'd2d3', 'e7e6', 'e1g1', 'd7d6', 'b1c3', 'f8e7', 'e2e4', 'b8d7', 'd1e2', 'e7f6', 'f3d2', 'f6c3', 'b2c3', 'g8e7', 'd2c4', 'd7b6', 'c4a5', 'b7a6', 'f2f4', 'e8g8', 'f4f5', 'e6f5', 'e4f5', 'e7d5', 'f5f6', 'f8e8', 'e2f2', 'e8e6', 'c3c4', 'd5f6', 'g2a8', 'd8a8', 'c1b2', 'a8e8', 'a1e1', 'f6g4', 'e1e6', 'e8e6', 'f2e1', 'a6c8', 'e1e6', 'c8e6', 'a5b7', 'g4e3', 'f1c1', 'b6c8', 'b2c3', 'e6d7', 'c3d2', 'e3f5', 'c2c3', 'h7h5', 'd2f4', 'g8f8', 'g1f2', 'd7c6', 'c1b1', 'c6d7', 'h2h3', 'f8e7', 'b7a5', 'e7d8', 'b1b7', 'f5e7', 'h3h4', 'e7g6', 'd3d4', 'f7f6', 'f2e3', 'g6e7', 'e3d2', 'e7f5', 'd2d3', 'c5d4', 'c3d4', 'd8e8', 'b7b2', 'g7g5', 'h4g5', 'f6g5', 'f4g5', 'f5g3', 'b2g2', 'g3f5', 'd4d5', 'c8e7', 'g2h2', 'f5g3', 'g5f4', 'd7f5', 'd3c3', 'g3e4', 'c3b4', 'e7g6', 'f4g5', 'f5g4', 'g5h4', 'g4d1', 'h2h1', 'd1f3', 'h1h3', 'f3d1', 'h3e3', 'd1c2', 'h4g3', 'e8d7', 'a5c6', 'h5h4', 'g3h2', 'a7a5', 'c6a5', 'g6e7', 'e3f3', 'e4g5', 'f3f2', 'c2d1', 'f2f6', 'g5e4', 'f6f4']"
"{'_tag_roster': {'Event': 'URS Team-Cup09', 'Site': 'Tbilisi (Georgia)', 'Date': '1976.04.??', 'Round': '3', 'White': 'Kholmov, Ratmir D', 'Black': 'Beliavsky, Alexander G', 'Result': '1-0'}, '_others': {'ECO': 'B08', 'WhiteElo': '2550', 'BlackElo': '2560', 'PlyCount': '51', 'EventDate': '1976.04.15', 'EventType': 'team-tourn', 'EventRounds': '7', 'EventCountry': 'GEO', 'SourceTitle': 'EXT 2017', 'Source': 'ChessBase', 'SourceDate': '2016.10.25', 'SourceVersion': '1', 'SourceVersionDate': '2016.10.25', 'SourceQuality': '1', 'WhiteTeam': 'The Rural Societies', 'BlackTeam': 'Avangard', 'WhiteTeamCountry': 'URS', 'BlackTeamCountry': 'URS'}}","['g1f3', 'g7g6', 'e2e4', 'd7d6', 'd2d4', 'g8f6', 'b1c3', 'f8g7', 'c1f4', 'b8c6', 'd1d2', 'e8g8', 'd4d5', 'e7e5', 'd5e6', 'c8e6', 'e1c1', 'f8e8', 'f3g5', 'd8d7', 'f2f3', 'a8d8', 'g5e6', 'd7e6', 'c3d5', 'f6d5', 'e4d5', 'e6f6', 'c2c3', 'c6e7', 'f1d3', 'f6h4', 'd3b5', 'c7c6', 'd5c6', 'b7c6', 'f4g5', 'h4h5', 'h2h4', 'c6b5', 'g2g4', 'h5g5', 'h4g5', 'd6d5', 'd2h2', 'b5b4', 'c3b4', 'e7c6', 'f3f4', 'e8e4', 'h2h7']"
"{'_tag_roster': {'Event': 'Interzonal-10b', 'Site': 'Manila', 'Date': '1976.07.06', 'Round': '16', 'White': 'Tseshkovsky, Vitaly', 'Black': 'Uhlmann, Wolfgang', 'Result': '1/2-1/2'}, '_others': {'ECO': 'C08', 'WhiteElo': '2550', 'BlackElo': '2555', 'PlyCount': '97', 'EventDate': '1976.06.13', 'EventType': 'tourn', 'EventRounds': '19', 'EventCountry': 'PHI', 'EventCategory': '12', 'SourceTitle': 'IZT', 'Source': 'ChessBase', 'SourceDate': '1999.07.01', 'SourceVersion': '1', 'SourceVersionDate': '1999.07.01', 'SourceQuality': '1'}}","['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'c7c5', 'e4d5', 'e6d5', 'f1b5', 'c8d7', 'd1e2', 'f8e7', 'd4c5', 'g8f6', 'd2b3', 'e8g8', 'c1e3', 'f8e8', 'g1f3', 'e7c5', 'b5d7', 'b8d7', 'b3c5', 'd7c5', 'e2b5', 'a8c8', 'e1g1', 'a7a6', 'b5b4', 'e8e4', 'b4d2', 'c5e6', 'c2c3', 'f6g4', 'f1e1', 'g4e3', 'e1e3', 'd8b6', 'a1e1', 'e4e3', 'e1e3', 'd5d4', 'c3d4', 'e6d4', 'h2h4', 'd4f3', 'e3f3', 'c8d8', 'f3b3', 'd8d2', 'b3b6', 'd2d7', 'g2g4', 'h7h6', 'g1g2', 'g8f8', 'g2g3', 'f8e7', 'g4g5', 'h6g5', 'h4g5', 'e7d8', 'g5g6', 'f7g6', 'f2f4', 'd8c8', 'b6g6', 'd7d2', 'g6g7', 'd2b2', 'g7e7', 'c8d8', 'e7e1', 'b2a2', 'f4f5', 'a2c2', 'f5f6', 'd8d7', 'e1e7', 'd7d6', 'e7e1', 'd6d7', 'e1e7', 'd7d6', 'e7e8', 'c2c7', 'g3f4', 'b7b5', 'f4f5', 'b5b4', 'f5g6', 'c7c1', 'f6f7', 'c1g1', 'g6h5', 'g1f1', 'f7f8q']"
"{'_tag_roster': {'Event': 'URS-ch44 First League', 'Site': 'Minsk (Belarus)', 'Date': '1976.??.??', 'Round': '?', 'White': 'Tseshkovsky, Vitaly', 'Black': 'Beliavsky, Alexander G', 'Result': '1/2-1/2'}, '_others': {'ECO': 'B78', 'WhiteElo': '2550', 'BlackElo': '2560', 'PlyCount': '41', 'EventDate': '1976.10.??', 'EventType': 'tourn', 'EventRounds': '17', 'EventCountry': 'URS', 'SourceTitle': 'EXT 2001', 'Source': 'ChessBase', 'SourceDate': '2000.11.22', 'SourceVersion': '1', 'SourceVersionDate': '2000.11.22', 'SourceQuality': '1'}}","['e2e4', 'c7c5', 'g1f3', 'd7d6', 'd2d4', 'c5d4', 'f3d4', 'g8f6', 'b1c3', 'g7g6', 'c1e3', 'f8g7', 'f2f3', 'b8c6', 'd1d2', 'e8g8', 'f1c4', 'c8d7', 'e1c1', 'c6e5', 'c4b3', 'a8c8', 'h2h4', 'e5c4', 'b3c4', 'c8c4', 'h4h5', 'f6h5', 'd4e2', 'd8a5', 'c1b1', 'h5g3', 'e2g3', 'g7c3', 'b2c3', 'd7e6', 'e3d4', 'a5a3', 'g3f5', 'f8e8', 'h1h7']"
"{'_tag_roster': {'Event': 'URS-ch44 Final', 'Site': 'Moscow (Russia)', 'Date': '1976.11.29', 'Round': '3', 'White': 'Tseshkovsky, Vitaly', 'Black': 'Vaganian, Rafael A', 'Result': '1/2-1/2'}, '_others': {'ECO': 'C07', 'WhiteElo': '2550', 'BlackElo': '2550', 'PlyCount': '28', 'EventDate': '1976.11.27', 'EventType': 'tourn', 'EventRounds': '17', 'EventCountry': 'URS', 'EventCategory': '12', 'SourceTitle': 'URS-ch', 'Source': 'ChessBase', 'SourceDate': '1999.07.01', 'SourceVersion': '1', 'SourceVersionDate': '1999.07.01', 'SourceQuality': '1'}}","['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1d2', 'c7c5', 'e4d5', 'd8d5', 'g1f3', 'c5d4', 'f1c4', 'd5d6', 'e1g1', 'g8f6', 'd2b3', 'b8c6', 'b3d4', 'c6d4', 'd1d4', 'a7a6', 'f1d1', 'd6d4', 'f3d4', 'b7b5', 'c4e2', 'c8b7', 'c2c3', 'a8c8']"
"{'_tag_roster': {'Event': 'URS-ch44 Final', 'Site': 'Moscow (Russia)', 'Date': '1976.12.10', 'Round': '10', 'White': 'Tseshkovsky, Vitaly', 'Black': 'Romanishin, Oleg M', 'Result': '1-0'}, '_others': {'ECO': 'C67', 'WhiteElo': '2550', 'BlackElo': '2560', 'PlyCount': '109', 'EventDate': '1976.11.27', 'EventType': 'tourn', 'EventRounds': '17', 'EventCountry': 'URS', 'EventCategory': '12', 'SourceTitle': 'URS-ch', 'Source': 'ChessBase', 'SourceDate': '1999.07.01', 'SourceVersion': '1', 'SourceVersionDate': '1999.07.01', 'SourceQuality': '1'}}","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'g8f6', 'e1g1', 'f6e4', 'd2d4', 'e4d6', 'b5c6', 'd7c6', 'd4e5', 'd6f5', 'd1d8', 'e8d8', 'b2b3', 'h7h6', 'b1c3', 'c8e6', 'c3e2', 'e6d5', 'f3d2', 'c6c5', 'c1b2', 'd8c8', 'e2f4', 'd5c6', 'd2c4', 'f8e7', 'a1d1', 'b7b6', 'c4e3', 'f5e3', 'f2e3', 'e7g5', 'f4d5', 'c6e8', 'g2g3', 'c8b7', 'h2h4', 'g5d8', 'e5e6', 'f7e6', 'd5f4', 'd8e7', 'b2e5', 'e7f6', 'e5f6', 'g7f6', 'f4e6', 'h8g8', 'g1h2', 'e8h5', 'd1d7', 'a8c8', 'f1f6', 'h5g4', 'd7h7', 'h6h5', 'h2g2', 'g8e8', 'e6f4', 'e8e3', 'f4h5', 'c8d8', 'f6f2', 'g4d7', 'h7d7', 'd8d7', 'h5f6', 'd7g7', 'g3g4', 'c5c4', 'b3c4', 'b7c6', 'h4h5', 'e3e7', 'g2g3', 'c6d6', 'g3f4', 'e7e5', 'h5h6', 'g7g6', 'g4g5', 'd6e6', 'h6h7', 'g6f6', 'g5f6', 'e5h5', 'f6f7', 'e6f7', 'f4g4', 'f7g6', 'f2f6', 'g6f6', 'g4h5', 'f6g7', 'h5g5', 'c7c5', 'g5f5', 'g7h7', 'f5e5', 'h7g6', 'e5d5', 'g6f5', 'd5c6', 'f5e5', 'c6b7']"
"{'_tag_roster': {'Event': 'URS-ch44 Final', 'Site': 'Moscow (Russia)', 'Date': '1976.12.23', 'Round': '17', 'White': 'Romanishin, Oleg M', 'Black': 'Vaganian, Rafael A', 'Result': '1/2-1/2'}, '_others': {'ECO': 'A88', 'WhiteElo': '2560', 'BlackElo': '2550', 'PlyCount': '30', 'EventDate': '1976.11.27', 'EventType': 'tourn', 'EventRounds': '17', 'EventCountry': 'URS', 'EventCategory': '12', 'SourceTitle': 'URS-ch', 'Source': 'ChessBase', 'SourceDate': '1999.07.01', 'SourceVersion': '1', 'SourceVersionDate': '1999.07.01', 'SourceQuality': '1'}}","['g1f3', 'f7f5', 'c2c4', 'g7g6', 'g2g3', 'f8g7', 'd2d4', 'g8f6', 'f1g2', 'd7d6', 'e1g1', 'c7c6', 'd4d5', 'e8g8', 'b1c3', 'e7e5', 'd5e6', 'c8e6', 'd1d3', 'b8a6', 'c1f4', 'f6e8', 'f3g5', 'd8d7', 'b2b3', 'h7h6', 'g5e6', 'd7e6', 'f4e3', 'e8f6']"
