piece,color,row,column,cpl
0,0,0,1,29
0,1,7,1,29
1,0,0,2,29
1,1,7,2,29
0,0,0,1,47
0,1,7,1,47
1,0,0,2,47
1,1,7,2,47
0,0,0,1,43
0,1,7,1,43
1,0,0,2,43
1,1,7,2,43
0,0,0,1,36
0,1,7,1,36
1,0,0,2,36
1,1,7,2,36
0,0,2,2,44
0,1,7,1,44
1,0,0,2,44
1,1,7,2,44
0,0,2,2,60
0,1,7,1,60
1,0,0,2,60
1,1,7,2,60
0,0,2,2,60
0,1,7,1,60
1,0,0,2,60
1,1,7,2,60
0,0,2,2,101
0,1,7,1,101
1,0,0,2,101
1,1,7,2,101
0,0,2,2,64
0,1,7,1,64
1,0,0,2,64
1,1,7,2,64
0,0,0,6,71
0,1,7,1,71
1,0,0,2,71
1,1,7,2,71
0,0,0,6,64
0,1,7,1,64
1,0,0,2,64
1,1,7,2,64
0,0,0,6,60
0,1,7,1,60
1,0,0,2,60
1,1,7,2,60
0,0,0,6,39
0,1,7,1,39
1,0,0,2,39
1,1,7,2,39
0,0,0,6,42
0,1,6,4,42
1,0,0,2,42
1,1,7,2,42
0,0,2,5,39
0,1,6,4,39
1,0,0,2,39
1,1,7,2,39
0,0,2,5,37
0,1,6,4,37
1,0,0,2,37
1,1,7,2,37
0,0,2,5,31
0,1,6,4,31
1,0,1,3,31
1,1,7,2,31
0,0,2,5,43
0,1,6,4,43
1,0,1,3,43
1,1,6,3,43
0,0,2,5,43
0,1,6,4,43
1,0,1,3,43
1,1,6,3,43
0,0,2,5,23
0,1,6,4,23
1,0,1,3,23
1,1,6,3,23
0,0,4,6,34
0,1,6,4,34
1,0,1,3,34
1,1,6,3,34
0,0,4,6,51
0,1,6,4,51
1,0,1,3,51
1,1,6,3,51
0,0,4,6,55
0,1,6,4,55
1,0,1,3,55
1,1,6,3,55
0,0,4,6,59
0,1,6,4,59
1,0,1,3,59
1,1,6,3,59
0,0,4,6,55
0,1,6,4,55
1,0,1,3,55
1,1,6,3,55
0,0,4,6,66
0,1,6,4,66
1,0,1,3,66
1,1,6,3,66
0,0,4,6,62
0,1,6,4,62
1,0,3,6,62
1,1,6,3,62
0,0,4,6,67
0,1,6,4,67
1,0,3,6,67
1,1,6,3,67
0,0,2,5,55
0,1,6,4,55
1,0,3,6,55
1,1,6,3,55
0,0,2,5,80
0,1,7,2,80
1,0,3,6,80
1,1,6,3,80
0,0,2,5,81
0,1,7,2,81
1,0,3,6,81
1,1,6,3,81
0,0,2,5,121
0,1,5,1,121
1,0,3,6,121
1,1,6,3,121
0,0,2,5,82
0,1,5,1,82
1,0,3,6,82
1,1,6,3,82
0,0,2,5,83
0,1,5,1,83
1,0,3,6,83
1,1,6,3,83
0,0,2,5,76
0,1,5,1,76
1,0,3,6,76
1,1,6,3,76
0,0,2,5,134
0,1,7,3,134
1,0,3,6,134
1,1,6,3,134
0,0,4,4,132
0,1,7,3,132
1,0,3,6,132
1,1,6,3,132
0,0,4,4,337
0,1,7,3,337
1,0,3,6,337
1,1,6,3,337
0,0,4,4,279
0,1,7,3,279
1,0,3,6,279
1,1,6,3,279
0,0,4,4,294
0,1,7,3,294
1,0,3,6,294
1,1,6,3,294
0,0,4,4,177
0,1,7,3,177
1,0,3,6,177
1,1,6,3,177
0,0,4,4,256
0,1,7,3,256
1,0,3,6,256
1,1,7,2,256
0,0,4,4,162
0,1,7,3,162
1,0,3,6,162
1,1,7,2,162
0,0,4,4,160
0,1,7,3,160
1,0,3,6,160
1,1,7,2,160
0,0,4,4,170
0,1,7,3,170
1,0,3,6,170
1,1,7,2,170
0,0,4,4,177
0,1,7,3,177
1,0,3,6,177
1,1,7,2,177
0,0,4,4,167
0,1,7,3,167
1,0,3,6,167
1,1,7,2,167
0,0,4,4,170
0,1,7,3,170
1,0,3,6,170
1,1,7,2,170
0,0,4,4,119
0,1,7,3,119
1,0,3,6,119
1,1,7,2,119
0,0,4,4,139
0,1,6,3,139
1,0,3,6,139
1,1,7,2,139
0,0,4,4,163
0,1,6,3,163
1,0,3,6,163
1,1,7,2,163
0,0,4,4,157
0,1,6,3,157
1,0,3,6,157
1,1,7,2,157
0,0,4,4,174
0,1,6,3,174
1,0,3,6,174
1,1,7,2,174
0,0,4,4,172
0,1,6,3,172
1,0,3,6,172
1,1,7,2,172
0,0,5,2,209
0,1,6,3,209
1,0,3,6,209
1,1,7,2,209
0,1,6,3,217
1,0,3,6,217
1,1,7,2,217
0,1,6,3,240
1,0,3,6,240
1,1,7,2,240
0,1,6,3,264
1,0,3,6,264
1,1,7,2,264
0,1,6,3,293
1,0,3,6,293
1,1,7,2,293
0,1,6,3,263
1,0,3,6,263
1,1,7,2,263
0,1,6,3,280
1,0,3,6,280
1,1,7,2,280
0,1,6,3,282
1,0,3,6,282
1,1,7,2,282
0,1,6,3,255
1,0,3,6,255
1,1,7,2,255
0,1,6,3,263
1,0,3,6,263
1,1,7,2,263
0,1,6,3,241
1,0,3,6,241
1,1,7,2,241
0,1,6,3,266
1,0,3,6,266
1,1,7,2,266
0,1,6,3,241
1,0,3,6,241
1,1,7,2,241
0,1,6,3,216
1,0,3,6,216
1,1,7,2,216
0,1,6,3,214
1,0,4,4,214
1,1,7,2,214
0,1,6,3,302
1,0,4,4,302
1,1,7,2,302
0,1,6,3,199
1,0,4,4,199
1,1,7,2,199
0,1,6,3,237
1,0,4,4,237
1,1,7,2,237
0,1,6,3,227
